team,sport,wins,losses,pct,source,players
Taconic High School,boys-basketball,0,0,0.0,none,[]
Terryville,boys-basketball,13,8,0.619,ciac,[]
Terryville,girls-basketball,1,19,0.05,ciac,[]
The Stony Brook School,boys-basketball,0,0,0.0,none,[]
Thomas Edison Voc Tech High Sc,boys-basketball,0,0,0.0,none,[]
Thomaston,girls-basketball,16,5,0.762,ciac,[]
Thomaston,boys-basketball,10,13,0.435,ciac,[]
Tolland,girls-basketball,8,13,0.381,ciac,[]
Tolland,boys-basketball,4,13,0.235,ciac,[]
Torrington,boys-basketball,11,12,0.478,ciac,[]
Torrington,girls-basketball,15,8,0.652,ciac,[]
Tourtellotte,girls-basketball,4,17,0.19,ciac,[]
Tourtellotte,boys-basketball,1,19,0.05,ciac,[]
Trumbull,boys-basketball,20,3,0.87,ciac,[]
Trumbull,girls-basketball,19,3,0.864,ciac,[]
University,boys-basketball,2,14,0.125,ciac,[]
Valley Regional,boys-basketball,10,12,0.455,ciac,[]
Valley Regional,girls-basketball,5,15,0.25,ciac,[]
Vinal Tech,boys-basketball,13,10,0.565,ciac,[]
Vinal Tech,girls-basketball,6,14,0.3,ciac,[]
WCA,boys-basketball,10,13,0.435,ciac,[]
WCA,girls-basketball,1,19,0.05,ciac,[]
Waterford,girls-basketball,11,12,0.478,ciac,[]
Waterford,boys-basketball,4,15,0.211,ciac,[]
Watertown,girls-basketball,6,15,0.286,ciac,[]
Watertown,boys-basketball,13,10,0.565,ciac,[]
Weaver,boys-basketball,11,9,0.55,ciac,[]
Weaver,girls-basketball,20,3,0.87,ciac,[]
West Haven,boys-basketball,22,0,1.0,ciac,[]
West Haven,girls-basketball,17,8,0.68,ciac,[]
Westbrook,girls-basketball,12,10,0.545,ciac,[]
Westbrook,boys-basketball,1,19,0.05,ciac,[]
Westerly RI High School,boys-basketball,0,0,0.0,none,[]
Westerly RI High School,girls-basketball,0,0,0.0,none,[]
Westhill,girls-basketball,2,18,0.1,ciac,[]
Westhill,boys-basketball,12,9,0.571,ciac,[]
Westlake High School,boys-basketball,0,0,0.0,none,[]
Weston,girls-basketball,6,16,0.273,ciac,[]
Weston,boys-basketball,9,14,0.391,ciac,[]
Wethersfield,girls-basketball,8,13,0.381,ciac,[]
Wethersfield,boys-basketball,8,13,0.381,ciac,[]
Wheeler,boys-basketball,6,15,0.286,ciac,[]
Wheeler,girls-basketball,16,8,0.667,ciac,[]
White Plains High School,girls-basketball,0,0,0.0,none,[]
Whitney Tech,boys-basketball,10,11,0.476,ciac,[]
Whitney Tech,girls-basketball,15,8,0.652,ciac,[]
Wilbur Cross,girls-basketball,1,19,0.05,ciac,[]
Wilbur Cross,boys-basketball,8,14,0.364,ciac,[]
Wilby,boys-basketball,19,4,0.826,ciac,[]
Wilby,girls-basketball,14,7,0.667,ciac,[]
Wilcox Tech,girls-basketball,17,3,0.85,ciac,[]
Wilcox Tech,boys-basketball,3,17,0.15,ciac,[]
Wilton,boys-basketball,8,12,0.4,ciac,[]
Wilton,girls-basketball,4,16,0.2,ciac,[]
Windham,girls-basketball,3,17,0.15,ciac,[]
Windham,boys-basketball,4,16,0.2,ciac,[]
Windham Tech,boys-basketball,18,5,0.783,ciac,[]
Windham Tech,girls-basketball,9,14,0.391,ciac,[]
Windsor,girls-basketball,14,8,0.636,ciac,[]
Windsor,boys-basketball,20,2,0.909,ciac,[]
Windsor Locks,boys-basketball,8,14,0.364,ciac,[]
Windsor Locks,girls-basketball,7,15,0.318,ciac,[]
Wolcott,boys-basketball,5,15,0.25,ciac,[]
Wolcott,girls-basketball,5,15,0.25,ciac,[]
Wolcott Tech,boys-basketball,5,15,0.25,ciac,[]
Wolcott Tech,girls-basketball,1,19,0.05,ciac,[]
Woodland,girls-basketball,10,12,0.455,ciac,[]
Woodland,boys-basketball,24,0,1.0,ciac,[]
Woodstock Academy,boys-basketball,11,11,0.5,ciac,[]
Woodstock Academy,girls-basketball,19,4,0.826,ciac,[]
Wright Tech,boys-basketball,1,17,0.056,ciac,[]
Wright Tech,girls-basketball,6,15,0.286,ciac,[]
Xavier,boys-basketball,15,8,0.652,ciac,[]
